Zeilenbeschriftungen;Summe von Wohnort;Summe von Einpendler;Summe von Auspendler;Landkreis  
08212;124229;102552;48010;Karlsruhe, Stadtkreis
08215;188071;116686;146411;Karlsruhe
08216;101217;68014;74536;Rastatt
08221;54282;62157;24695;Heidelberg, Stadtkreis
08222;129112;115480;53072;Mannheim, Stadtkreis
08225;60451;30594;44470;Neckar-Odenwald-Kreis
08226;224480;135983;183987;Rhein-Neckar-Kreis
08231;51482;31385;23881;Pforzheim, Stadtkreis
08235;68486;31360;51561;Calw
08236;85081;47857;68921;Enzkreis
08237;52331;30355;34541;Freudenstadt
08311;84827;69924;25668;Freiburg im Breisgau, Stadtkreis
08315;104898;60798;81871;Breisgau-Hochschwarzwald
08316;70389;38838;55524;Emmendingen
08317;186288;123459;124806;Ortenaukreis
08325;60262;39617;41926;Rottweil
08326;89268;52337;52076;Schwarzwald-Baar-Kreis
08327;61665;45217;39517;Tuttlingen
08335;107124;58667;62005;Konstanz
08336;77456;51439;49558;Lörrach
08337;57084;35306;36891;Waldshut
08415;121861;75993;81944;Reutlingen
08416;90274;54090;61377;Tübingen
08417;79823;41826;51552;Zollernalbkreis
08421;53788;64008;21996;Ulm, Stadtkreis
08425;86385;37371;67596;Alb-Donau-Kreis
08426;88984;62406;64689;Biberach
08435;91767;61925;58843;Bodenseekreis
08436;121002;80082;80266;Ravensburg
08437;55147;31223;37887;Sigmaringen
09161;62977;65245;20738;Ingolstadt
09162;684488;403100;191015;München, Landeshauptstadt
09163;26413;23723;14568;Rosenheim
09171;46583;36985;35237;Altötting
09172;36988;24014;24186;Berchtesgadener Land
09173;51971;24979;38656;Bad Tölz-Wolfratshausen
09174;70014;32713;59052;Dachau
09175;62033;32778;53213;Ebersberg
09176;57831;32165;48255;Eichstätt
09177;63304;34454;51513;Erding
09178;84677;67304;67329;Freising
09179;90979;39562;78151;Fürstenfeldbruck
09180;33658;15979;20372;Garmisch-Partenkirchen
09181;48445;29953;38527;Landsberg am Lech
09182;40205;26963;30586;Miesbach
09183;48922;29593;36710;Mühldorf a.Inn
09184;143829;218093;121322;München
09185;42854;21198;31077;Neuburg-Schrobenhausen
09186;57243;32409;45970;Pfaffenhofen a.d.Ilm
09187;104312;62695;81113;Rosenheim
09188;49908;42289;39816;Starnberg
09189;71274;47864;50126;Traunstein
09190;55595;34653;40053;Weilheim-Schongau
09261;30212;24493;16624;Landshut
09262;19220;27263;6325;Passau
09263;19876;18456;8017;Straubing
09271;50593;36335;36046;Deggendorf
09272;32092;18404;24131;Freyung-Grafenau
09273;54054;25799;39640;Kelheim
09274;69406;39521;57345;Landshut
09275;77673;42780;58495;Passau
09276;31410;20419;22834;Regen
09277;49065;27049;36427;Rottal-Inn
09278;43568;19916;36123;Straubing-Bogen
09279;44676;38698;32806;Dingolfing-Landau
09361;17070;18055;7245;Amberg
09362;65546;79839;19848;Regensburg
09363;16944;18239;6924;Weiden i.d.OPf.
09371;44259;19142;34099;Amberg-Sulzbach
09372;54061;35901;38905;Cham
09373;58665;33125;40453;Neumarkt i.d.OPf.
09374;39677;23413;32157;Neustadt a.d.Waldnaab
09375;84130;37661;72548;Regensburg
09376;64183;39412;47319;Schwandorf
09377;29905;18606;22022;Tirschenreuth
09461;29512;37322;12377;Bamberg
09462;27594;29036;8619;Bayreuth
09463;17096;23859;7027;Coburg
09464;17461;14435;7172;Hof
09471;65651;30345;56095;Bamberg
09472;43886;16262;35907;Bayreuth
09473;38367;21023;30217;Coburg
09474;50892;23095;41537;Forchheim
09475;38027;28270;28050;Hof
09476;28819;17612;20611;Kronach
09477;30780;18898;21539;Kulmbach
09478;29240;20521;20885;Lichtenfels
09479;28336;19234;17820;Wunsiedel i.Fichtelgebirge
09561;17403;17967;7578;Ansbach
09562;48502;62816;19369;Erlangen
09563;57298;32234;40790;Fürth
09564;223316;162863;71715;Nürnberg
