Nr;Gemeinde;Wohnort;  Männer  ;  Frauen  ; Deutsche ;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;"Wohnort
gleich
Arbeitsort";Einpendler;Auspendler;"Zahl 
der 
Betriebe";;;
;;;;;;;;;;;;;;;;;
08326;Schwarzwald-Baar-Kreis;89,268;48,608;40,660;74,295;14,947;2,305;7,847;19,890;89,568;68,708;20,819;20,558;5,647;;;
;;;;;;;;;;;;;;;;;
08327002;Aldingen;3,310;1,849;1,461;2,837;473;102;290;698;2,677;793;1,882;2,517;166;;;
08327004;Bärenthal;228;134;94;209;19;3;17;51;170;49;121;179;16;;;
08327005;Balgheim;541;294;247;493;48;10;46;96;348;54;294;487;33;;;
08327006;Böttingen;696;392;304;615;81;24;75;142;446;148;298;548;41;;;
08327007;Bubsheim;791;485;306;505;286;28;86;134;1,415;564;850;227;21;;;
08327008;Buchheim;320;184;136;316;4;6;29;74;95;22;73;298;17;;;
08327009;Deilingen;874;482;392;724;150;24;96;170;950;191;758;683;46;;;
08327010;Denkingen;1,202;657;545;1,080;121;38;116;258;944;223;721;979;64;;;
08327011;Dürbheim;772;410;362;694;78;17;73;178;428;99;329;673;37;;;
08327012;Durchhausen;421;222;199;383;38;8;36;91;258;51;207;370;22;;;
08327013;Egesheim;342;202;140;279;63;13;32;70;*;144;*;198;*;;;
08327016;Fridingen an der Donau, Stadt;1,350;776;574;1,178;171;41;124;303;1,347;461;886;889;73;;;
08327017;Frittlingen;921;515;406;762;159;19;95;195;970;201;768;720;61;;;
08327018;Geisingen, Stadt;2,712;1,456;1,256;2,325;386;72;228;581;2,775;961;1,811;1,751;158;;;
08327019;Gosheim;1,748;957;791;1,464;284;66;140;377;3,281;768;2,510;980;112;;;
08327020;Gunningen;336;185;151;300;36;7;36;69;98;35;63;301;11;;;
08327023;Hausen ob Verena;322;167;155;298;24;8;28;77;52;17;35;305;12;;;
08327025;Immendingen;2,851;1,565;1,286;2,414;437;95;257;529;963;365;598;2,486;128;;;
08327027;Irndorf;292;161;131;275;17;12;27;74;119;66;53;226;17;;;
08327029;Königsheim;251;135;116;235;16;6;26;67;530;78;452;173;16;;;
08327030;Kolbingen;556;311;245;533;23;23;48;143;488;156;332;400;37;;;
08327033;Mahlstetten;386;210;176;359;27;7;34;111;131;40;91;346;14;;;
08327036;Mühlheim an der Donau, Stadt;1,522;810;712;1,400;122;56;122;331;1,405;424;981;1,098;80;;;
08327038;Neuhausen ob Eck;1,824;1,003;821;1,665;159;65;174;429;1,135;272;862;1,552;115;;;
08327040;Reichenbach am Heuberg;236;136;100;190;46;7;19;48;*;31;*;205;*;;;
08327041;Renquishausen;379;205;174;360;19;11;31;83;169;67;102;312;19;;;
08327046;Spaichingen, Stadt;5,640;3,078;2,562;4,575;1,065;161;436;1,192;5,669;1,950;3,718;3,690;392;;;
08327048;Talheim;571;310;261;532;39;26;45;113;293;59;234;512;33;;;
08327049;Trossingen, Stadt;6,889;3,949;2,940;5,449;1,439;242;680;1,404;5,066;1,885;3,176;5,004;422;;;
08327050;Tuttlingen, Stadt;15,436;8,616;6,820;11,462;3,968;435;1,394;3,056;26,152;9,983;16,155;5,453;1,055;;;
08327051;Wehingen;1,697;950;747;1,250;447;65;173;351;2,084;535;1,548;1,162;98;;;
08327054;Wurmlingen;1,634;889;745;1,474;160;41;148;387;1,211;312;899;1,322;112;;;
08327055;Seitingen-Oberflacht;1,054;589;465;954;100;36;98;237;517;171;346;883;57;;;
08327056;Rietheim-Weilheim;1,347;737;610;1,197;150;23;111;330;3,073;373;2,699;974;61;;;
08327057;Emmingen-Liptingen;2,214;1,212;1,002;1,994;220;69;211;493;1,966;600;1,365;1,614;123;;;
;;;;;;;;;;;;;;;;;
08327;Tuttlingen;61,665;34,233;27,432;50,780;10,875;1,866;5,581;12,942;67,708;48,216;19,457;13,449;3,686;;;
;;;;;;;;;;;;;;;;;
08335001;Aach, Stadt;973;525;448;849;124;31;82;226;417;74;343;899;57;;;
08335002;Allensbach;2,734;1,294;1,440;2,299;434;55;219;695;1,821;555;1,266;2,179;156;;;
08335015;Büsingen am Hochrhein;151;71;80;109;39;3;12;32;73;25;48;126;23;;;
08335021;Eigeltingen;1,686;904;782;1,496;190;50;159;394;924;262;661;1,424;116;;;
08335022;Engen, Stadt;4,308;2,245;2,063;3,682;626;115;367;949;3,157;1,112;2,044;3,196;309;;;
08335025;Gaienhofen;1,011;479;532;860;151;21;87;274;661;266;395;745;84;;;
08335026;Gailingen am Hochrhein;841;374;467;699;142;32;70;197;935;286;649;555;68;;;
08335028;Gottmadingen;3,815;1,925;1,890;3,235;578;109;368;832;3,384;862;2,520;2,953;287;;;
08335035;Hilzingen;3,368;1,665;1,703;2,996;372;79;314;768;1,777;519;1,257;2,849;217;;;
08335043;Konstanz, Universitätsstadt;29,725;14,548;15,177;23,836;5,878;466;2,976;5,630;31,811;20,709;11,080;9,013;2,528;;;
08335055;Moos;1,218;606;612;1,081;137;27;90;345;535;165;369;1,053;86;;;
08335057;Mühlingen;1,084;592;492;978;106;37;116;247;208;93;114;991;58;;;
08335061;Öhningen;1,019;485;534;916;103;40;73;267;410;213;196;806;90;;;
08335063;Radolfzell am Bodensee, Stadt;11,917;6,068;5,849;10,113;1,799;207;865;2,857;13,983;4,651;9,329;7,266;904;;;
08335066;Reichenau;2,161;1,099;1,062;1,628;533;54;219;464;2,521;783;1,736;1,378;179;;;
08335075;Singen (Hohentwiel), Stadt;18,713;10,154;8,559;13,516;5,187;510;1,774;3,737;26,529;9,738;16,773;8,975;1,394;;;
08335077;Steißlingen;1,965;992;973;1,795;168;56;152;448;1,697;310;1,386;1,655;136;;;
08335079;Stockach, Stadt;6,994;3,669;3,325;5,996;995;162;620;1,632;7,225;2,597;4,626;4,397;522;;;
08335080;Tengen, Stadt;1,685;896;789;1,533;152;51;147;373;546;307;238;1,378;81;;;
08335081;Volkertshausen;1,269;675;594;1,109;160;23;112;308;347;105;241;1,164;71;;;
08335096;Hohenfels;833;456;377;766;67;17;82;158;361;109;252;724;49;;;
08335097;Mühlhausen-Ehingen;1,566;818;748;1,403;163;45;142;325;454;128;326;1,438;68;;;
08335098;Bodman-Ludwigshafen;1,738;845;893;1,497;241;25;118;384;1,020;312;707;1,426;152;;;
08335099;Orsingen-Nenzingen;1,533;784;749;1,397;135;50;143;318;966;254;710;1,279;86;;;
08335100;Rielasingen-Worblingen;4,817;2,444;2,373;4,075;739;127;423;1,146;2,086;681;1,401;4,136;235;;;
;;;;;;;;;;;;;;;;;
08335;Konstanz;107,124;54,613;52,511;87,864;19,219;2,392;9,730;23,006;103,848;89,376;14,407;17,745;7,956;;;
;;;;;;;;;;;;;;;;;
08336004;Aitern;244;142;102;224;20;8;33;60;50;19;30;225;11;;;
08336006;Bad Bellingen;1,654;873;781;1,343;310;46;153;354;1,199;358;840;1,295;106;;;
08336008;Binzen;878;417;461;780;98;20;75;188;2,185;132;2,053;746;97;;;
08336010;Böllen;50;27;23;50;;*;8;8;;;;50;;;;
08336014;Efringen-Kirchen;2,820;1,441;1,379;2,587;233;80;253;634;1,766;544;1,221;2,276;199;;;
08336019;Eimeldingen;811;405;406;711;99;33;85;180;885;85;800;726;85;;;
08336024;Fischingen;235;126;109;185;50;9;13;54;191;43;147;192;16;;;
08336025;Fröhnd;223;134;89;219;4;8;28;51;12;7;5;216;5;;;
08336034;Hasel;400;215;185;378;22;14;27;82;69;25;43;375;18;;;
08336036;Hausen im Wiesental;910;475;435;792;118;28;109;219;770;111;659;799;42;;;
08336043;Inzlingen;623;290;333;572;50;10;57;169;183;65;118;558;37;;;
08336045;Kandern, Stadt;2,612;1,344;1,268;2,343;269;75;256;625;1,619;679;939;1,933;187;;;
08336050;Lörrach, Stadt;15,974;7,887;8,087;12,761;3,204;419;1,571;3,491;21,776;8,244;13,520;7,730;1,498;;;
08336057;Maulburg;1,664;854;810;1,433;231;58;135;379;3,754;386;3,368;1,278;104;;;
08336069;Rheinfelden (Baden), Stadt;11,147;5,775;5,372;8,969;2,176;383;1,086;2,437;11,164;5,572;5,586;5,575;753;;;
08336073;Rümmingen;567;273;294;513;54;18;51;128;373;30;343;537;32;;;
08336075;Schallbach;237;119;118;213;24;*;31;46;29;13;16;224;9;;;
08336078;Schliengen;2,023;990;1,033;1,838;184;68;189;443;988;306;681;1,717;157;;;
08336079;Schönau im Schwarzwald, Stadt;995;531;464;797;198;35;106;213;1,319;292;1,026;703;84;;;
08336080;Schönenberg;149;92;57;149;;10;18;44;*;*;*;*;*;;;
08336081;Schopfheim, Stadt;7,289;3,684;3,605;6,285;1,004;179;702;1,760;7,019;2,446;4,570;4,843;497;;;
08336082;Schwörstadt;897;459;438;745;151;22;93;170;170;47;123;850;36;;;
08336084;Steinen;3,473;1,768;1,705;3,106;366;115;352;814;1,836;533;1,303;2,939;200;;;
08336087;Todtnau, Stadt;2,089;1,129;960;1,773;316;69;227;497;1,552;824;726;1,265;143;;;
08336089;Tunau;81;41;40;76;5;*;3;23;*;*;*;*;*;;;
08336090;Utzenfeld;302;163;139;284;18;7;34;76;359;37;322;265;18;;;
08336091;Weil am Rhein, Stadt;9,671;4,934;4,737;7,443;2,225;291;998;1,978;12,118;4,369;7,742;5,302;852;;;
08336094;Wembach;151;85;66;119;32;7;12;26;*;25;*;126;*;;;
08336096;Wieden;254;143;111;242;12;17;30;57;*;35;*;219;*;;;
08336100;Wittlingen;301;152;149;285;16;6;26;87;132;6;126;295;11;;;
08336103;Zell im Wiesental, Stadt;2,586;1,425;1,161;2,013;571;69;222;613;1,479;568;911;2,018;126;;;
08336104;Malsburg-Marzell;544;277;267;510;34;19;49;126;257;78;179;466;27;;;
08336105;Grenzach-Wyhlen;4,120;2,051;2,069;3,367;751;151;383;922;5,355;1,597;3,757;2,523;278;;;
08336106;Häg-Ehrsberg;367;204;163;349;18;12;35;92;125;40;85;327;14;;;
08336107;Kleines Wiesental;1,115;576;539;1,058;57;54;110;281;350;150;200;965;72;;;
;;;;;;;;;;;;;;;;;
08336;Lörrach;77,456;39,501;37,955;64,512;12,920;2,345;7,560;17,327;80,062;65,149;14,874;12,305;5,733;;;
;;;;;;;;;;;;;;;;;
08337002;Albbruck;2,486;1,203;1,283;2,181;305;102;261;570;1,602;545;1,057;1,941;161;;;
08337013;Bernau im Schwarzwald;726;387;339;581;144;17;64;176;731;288;441;438;61;;;
08337022;Bonndorf im Schwarzwald, Stadt;3,109;1,693;1,416;2,581;527;99;311;621;2,936;1,614;1,316;1,495;181;;;
08337027;Dachsberg (Südschwarzwald);466;243;223;438;28;29;58;112;213;91;122;375;42;;;
08337030;Dettighofen;313;158;155;269;44;12;29;45;167;70;96;243;25;;;
08337032;Dogern;706;322;384;615;91;20;69;186;1,078;119;959;587;61;;;
08337038;Görwihl;1,512;780;732;1,360;152;56;164;350;1,237;439;797;1,073;114;;;
08337039;Grafenhausen;930;519;411;798;132;51;97;196;1,157;384;773;546;68;;;
08337045;Häusern;504;282;222;403;101;15;46;121;352;118;234;386;31;;;
08337049;Herrischried;824;425;399;749;75;35;86;187;409;175;234;649;57;;;
08337051;Höchenschwand;919;476;443;730;189;25;70;214;595;250;344;669;61;;;
08337053;Hohentengen am Hochrhein;919;411;508;783;136;45;105;164;645;335;310;584;87;;;
08337059;Ibach;136;65;71;129;7;11;13;41;42;24;18;112;11;;;
08337060;Jestetten;1,267;549;718;996;271;35;134;276;1,199;648;548;619;153;;;
08337062;Klettgau;2,355;1,213;1,142;1,964;390;100;294;459;1,916;817;1,099;1,538;166;;;
08337065;Lauchringen;2,504;1,214;1,290;2,022;480;71;252;539;2,290;623;1,667;1,881;197;;;
08337066;Laufenburg (Baden), Stadt;2,799;1,342;1,457;2,182;615;118;258;607;2,471;804;1,666;1,995;207;;;
08337070;Lottstetten;582;272;310;439;143;30;60;114;633;242;390;340;72;;;
08337076;Murg;2,220;1,085;1,135;1,786;433;78;245;481;1,291;433;858;1,787;134;;;
08337090;Rickenbach;1,317;672;645;1,212;105;64;125;304;700;290;409;1,027;76;;;
08337096;Bad Säckingen, Stadt;5,643;2,743;2,900;4,294;1,345;152;557;1,297;7,937;2,835;5,098;2,808;541;;;
08337097;St. Blasien, Stadt;1,390;740;650;1,017;372;39;131;339;1,635;579;1,056;811;130;;;
08337106;Stühlingen, Stadt;1,910;1,025;885;1,694;216;88;196;440;1,955;605;1,348;1,305;122;;;
08337108;Todtmoos;746;364;382;588;157;15;57;206;551;261;290;485;59;;;
08337116;Wehr, Stadt;4,820;2,422;2,398;4,010;809;135;500;1,056;3,331;1,472;1,858;3,348;253;;;
08337118;Weilheim;1,050;508;542;999;50;29;109;246;515;177;338;873;69;;;
08337123;Wutöschingen;2,328;1,184;1,144;1,960;368;86;247;464;2,106;699;1,406;1,629;123;;;
08337124;Eggingen;624;315;309;576;48;29;68;139;253;76;176;548;30;;;
08337125;Küssaberg;1,601;743;858;1,387;214;43;193;340;1,600;413;1,185;1,188;125;;;
08337126;Waldshut-Tiengen, Stadt;8,138;4,019;4,119;6,219;1,918;267;818;1,656;13,338;4,350;8,984;3,787;874;;;
08337127;Wutach;462;228;234;435;26;21;50;98;80;49;31;413;23;;;
08337128;Ühlingen-Birkendorf;1,778;953;825;1,602;176;85;202;384;565;367;198;1,411;106;;;
;;;;;;;;;;;;;;;;;
08337;Waldshut;57,084;28,555;28,529;46,999;10,067;2,002;5,869;12,428;55,530;47,119;8,379;9,964;4,420;;;
;;;;;;;;;;;;;;;;;
083;Reg.-Bez. Freiburg;899,261;474,528;424,733;763,707;135,253;23,630;80,196;193,929;906,495;827,169;78,830;72,074;60,699;;;
;;;;;;;;;;;;;;;;;
08415014;Dettingen an der Erms;4,207;2,281;1,926;3,445;760;108;320;888;6,589;1,283;5,304;2,924;235;;;
08415019;Eningen unter Achalm;4,841;2,613;2,228;3,987;849;101;372;1,066;2,871;582;2,288;4,259;256;;;
08415027;Gomadingen;946;504;442;884;61;24;75;251;484;156;328;790;48;;;
08415028;Grabenstetten;752;410;342;678;74;25;66;169;246;79;167;673;33;;;
08415029;Grafenberg;1,252;697;555;1,091;160;47;115;237;739;138;601;1,114;59;;;
08415034;Hayingen, Stadt;907;525;382;832;74;34;79;196;573;209;363;698;63;;;
08415039;Hülben;1,305;695;610;1,192;113;39;100;291;529;193;336;1,112;59;;;
08415048;Mehrstetten;598;346;252;550;47;16;50;134;296;81;214;517;29;;;
08415050;Metzingen, Stadt;9,973;5,409;4,564;7,899;2,071;226;815;2,077;13,315;3,260;10,044;6,713;749;;;
08415053;Münsingen, Stadt;6,208;3,313;2,895;5,625;582;185;522;1,387;4,289;2,200;2,088;4,008;413;;;
08415058;Pfronstetten;679;393;286;637;42;23;65;142;313;75;238;604;36;;;
08415059;Pfullingen, Stadt;8,014;4,317;3,697;6,442;1,569;220;677;1,704;5,931;1,507;4,420;6,507;560;;;
08415060;Pliezhausen;4,200;2,234;1,966;3,840;357;91;325;918;3,400;572;2,827;3,628;245;;;
08415061;Reutlingen, Stadt;47,422;25,660;21,762;37,542;9,855;1,031;3,786;9,917;56,529;23,518;32,985;23,902;3,159;;;
08415062;Riederich;1,874;1,002;872;1,536;338;41;147;422;1,594;196;1,396;1,678;116;;;
08415073;Trochtelfingen, Stadt;2,825;1,526;1,299;2,535;289;93;269;650;1,788;815;973;2,010;159;;;
08415078;Bad Urach, Stadt;5,572;3,070;2,502;4,290;1,277;138;527;1,288;5,552;1,624;3,926;3,948;345;;;
08415080;Wannweil;2,220;1,180;1,040;1,947;273;40;167;457;563;138;425;2,082;101;;;
08415085;Zwiefalten;937;522;415;849;87;34;100;211;1,053;296;756;641;64;;;
08415087;Walddorfhäslach;2,265;1,219;1,046;2,096;169;46;174;495;1,128;199;927;2,066;132;;;
08415088;Römerstein;1,782;964;818;1,667;115;65;173;362;631;294;337;1,488;98;;;
08415089;Engstingen;2,240;1,210;1,030;2,045;194;75;202;532;1,381;413;966;1,827;166;;;
08415090;Hohenstein;1,610;903;707;1,525;84;57;156;357;1,850;334;1,516;1,276;89;;;
08415091;Sonnenbühl;3,162;1,750;1,412;2,966;194;119;277;700;1,632;696;934;2,466;168;;;
08415092;Lichtenstein;3,806;2,081;1,725;3,077;728;104;277;881;1,719;662;1,054;3,144;194;;;
08415093;St. Johann;2,264;1,222;1,042;2,149;115;67;180;587;975;395;580;1,869;107;;;
;;;;;;;;;;;;;;;;;
08415;Reutlingen;121,861;66,046;55,815;101,326;20,477;3,049;10,016;26,319;115,970;82,442;33,466;39,417;7,683;;;
;;;;;;;;;;;;;;;;;
08416006;Bodelshausen;2,461;1,347;1,114;1,931;529;50;219;535;3,287;693;2,590;1,768;122;;;
08416009;Dettenhausen;2,344;1,267;1,077;2,079;265;48;180;538;1,113;282;830;2,062;113;;;
08416011;Dußlingen;2,581;1,359;1,222;2,173;408;55;206;559;1,526;314;1,211;2,267;118;;;
08416015;Gomaringen;3,770;1,964;1,806;3,355;414;81;273;854;2,434;540;1,892;3,230;186;;;
08416018;Hirrlingen;1,400;788;612;1,281;118;41;137;314;540;173;366;1,227;85;;;
08416022;Kirchentellinsfurt;2,348;1,269;1,079;2,056;292;40;153;527;1,671;229;1,441;2,119;158;;;
08416023;Kusterdingen;3,533;1,897;1,636;3,160;373;67;264;778;3,307;316;2,990;3,217;152;;;
08416025;Mössingen, Stadt;8,455;4,469;3,986;7,296;1,155;222;677;1,893;5,485;2,059;3,421;6,396;511;;;
08416026;Nehren;1,851;959;892;1,645;206;45;127;416;882;170;712;1,681;73;;;
08416031;Ofterdingen;2,148;1,134;1,014;1,886;262;46;171;454;983;222;761;1,926;140;;;
08416036;Rottenburg am Neckar, Stadt;17,971;9,659;8,312;15,437;2,528;444;1,559;3,967;10,405;4,407;5,991;13,564;913;;;
08416041;Tübingen, Universitätsstadt;32,979;16,601;16,378;27,449;5,522;446;2,592;6,023;48,170;18,479;29,663;14,498;2,205;;;
08416048;Ammerbuch;4,918;2,591;2,327;4,380;538;123;396;1,105;2,423;706;1,714;4,212;230;;;
08416049;Neustetten;1,595;882;713;1,442;153;49;145;334;411;136;275;1,459;69;;;
08416050;Starzach;1,920;1,051;869;1,776;143;59;154;478;402;169;233;1,751;61;;;
;;;;;;;;;;;;;;;;;
08416;Tübingen;90,274;47,237;43,037;77,346;12,906;1,816;7,253;18,775;83,039;52,262;30,723;38,010;5,136;;;
;;;;;;;;;;;;;;;;;
08417002;Balingen, Stadt;14,464;7,790;6,674;12,684;1,776;370;1,178;3,110;18,114;6,921;11,182;7,543;1,084;;;
08417008;Bisingen;4,066;2,167;1,899;3,563;502;107;307;884;2,999;789;2,208;3,277;235;;;
08417010;Bitz;1,583;824;759;1,481;102;50;123;388;491;191;299;1,392;79;;;
08417013;Burladingen, Stadt;5,329;2,911;2,418;4,589;740;179;458;1,211;3,077;1,589;1,487;3,740;276;;;
08417014;Dautmergen;210;137;73;169;41;*;16;38;46;20;26;190;9;;;
08417015;Dormettingen;459;250;209;410;49;8;41;112;549;83;466;376;28;;;
08417016;Dotternhausen;822;453;369;738;84;30;62;217;796;123;672;699;61;;;
08417022;Geislingen, Stadt;2,645;1,417;1,228;2,464;181;84;256;562;1,148;390;758;2,255;145;;;
08417023;Grosselfingen;940;508;432;859;80;28;76;199;546;87;459;853;50;;;
08417025;Haigerloch, Stadt;4,833;2,632;2,201;4,237;594;142;448;1,052;3,002;1,275;1,724;3,558;244;;;
08417029;Hausen am Tann;189;101;88;166;23;*;16;42;49;17;32;172;13;;;
08417031;Hechingen, Stadt;8,055;4,253;3,802;6,615;1,440;193;685;1,851;7,646;2,631;5,014;5,423;555;;;
08417036;Jungingen;532;286;246;492;40;6;37;130;929;111;818;421;36;;;
08417044;Meßstetten, Stadt;4,503;2,468;2,035;3,976;526;139;387;1,061;2,651;1,120;1,530;3,383;203;;;
08417045;Nusplingen;781;433;348;701;80;21;74;182;296;101;195;680;43;;;
08417047;Obernheim;661;380;281;584;76;37;61;155;191;74;117;587;35;;;
08417051;Rangendingen;2,289;1,197;1,092;2,115;174;52;169;511;1,364;418;946;1,871;114;;;
08417052;Ratshausen;333;190;143;299;34;8;23;79;310;42;268;291;17;;;
08417054;Rosenfeld, Stadt;2,876;1,622;1,254;2,571;304;101;310;639;2,899;973;1,925;1,903;183;;;
08417057;Schömberg, Stadt;2,063;1,170;893;1,684;378;53;197;403;1,024;372;652;1,691;128;;;
08417063;Straßberg;1,073;568;505;999;74;33;90;252;520;143;377;930;55;;;
08417071;Weilen unter den Rinnen;290;160;130;270;20;11;32;71;71;18;53;272;10;;;
08417075;Winterlingen;2,607;1,402;1,205;2,334;273;88;207;584;1,176;531;645;2,076;147;;;
08417078;Zimmern unter der Burg;210;115;95;200;10;13;25;39;22;9;13;201;7;;;
08417079;Albstadt, Stadt;18,010;9,905;8,105;14,587;3,422;454;1,658;3,913;20,209;10,242;9,960;7,768;1,252;;;
;;;;;;;;;;;;;;;;;
08417;Zollernalbkreis;79,823;43,339;36,484;68,787;11,023;2,213;6,936;17,685;70,125;56,195;13,901;23,627;5,009;;;
;;;;;;;;;;;;;;;;;
08421000;Ulm, Universitätsstadt;53,788;29,384;24,404;41,448;12,320;1,010;4,568;9,222;95,855;31,792;64,008;21,996;3,933;;;
;;;;;;;;;;;;;;;;;
08425002;Allmendingen;2,035;1,133;902;1,797;238;75;211;402;1,332;380;952;1,655;87;;;
08425004;Altheim;249;148;101;222;27;10;21;35;118;13;105;236;10;;;
08425005;Altheim (Alb);711;399;312;657;54;24;81;154;215;81;134;630;40;;;
08425008;Amstetten;1,737;1,008;729;1,473;264;72;164;338;1,767;419;1,348;1,318;94;;;
08425011;Asselfingen;478;280;198;430;47;22;34;117;145;36;109;442;14;;;
08425013;Ballendorf;266;130;136;246;20;8;23;64;*;21;*;245;*;;;
08425014;Beimerstetten;1,124;612;512;986;138;39;91;240;378;99;279;1,025;61;;;
08425017;Berghülen;842;492;350;778;64;27;62;214;289;89;199;753;56;;;
08425019;Bernstadt;1,001;564;437;931;70;23;86;197;202;60;142;941;36;;;
08425020;Blaubeuren, Stadt;5,624;3,278;2,346;4,228;1,393;167;537;1,104;4,875;1,796;3,076;3,828;324;;;
08425022;Börslingen;70;37;33;*;*;5;5;13;*;7;*;63;*;;;
08425024;Breitingen;134;69;65;115;19;6;12;32;33;5;28;129;10;;;
08425028;Dietenheim, Stadt;2,927;1,682;1,245;2,455;472;91;258;606;1,892;641;1,250;2,286;153;;;
08425031;Dornstadt;3,577;1,921;1,656;3,118;458;89;278;750;3,951;666;3,283;2,911;226;;;
08425033;Ehingen (Donau), Stadt;11,486;6,655;4,831;9,281;2,200;332;1,097;2,263;11,971;5,006;6,958;6,480;643;;;
08425035;Emeringen;71;37;34;*;*;;8;14;*;*;*;*;*;;;
08425036;Emerkingen;409;233;176;383;26;22;51;76;179;48;131;361;12;;;
08425039;Erbach, Stadt;6,004;3,343;2,661;5,215;787;177;504;1,238;2,778;962;1,812;5,042;326;;;
08425050;Griesingen;505;282;223;465;40;20;46;113;29;4;25;501;7;;;
08425052;Grundsheim;101;55;46;92;9;4;20;13;*;8;*;93;*;;;
08425055;Hausen am Bussen;117;66;51;*;*;*;8;28;*;*;*;*;*;;;
08425062;Holzkirch;131;66;65;127;4;*;16;23;27;9;18;122;9;;;
08425064;Hüttisheim;667;365;302;594;73;10;55;117;166;40;126;627;30;;;
08425066;Illerrieden;1,452;812;640;1,357;94;46;107;328;532;132;400;1,320;47;;;
08425071;Laichingen, Stadt;5,181;2,940;2,241;4,131;1,049;160;477;1,030;3,747;1,752;1,987;3,429;390;;;
08425072;Langenau, Stadt;6,758;3,713;3,045;5,748;1,008;198;582;1,365;6,081;1,826;4,250;4,932;433;;;
08425073;Lauterach;258;144;114;239;19;6;28;56;*;7;*;251;*;;;
08425075;Lonsee;2,290;1,268;1,022;1,948;342;59;232;516;623;271;352;2,019;97;;;
08425079;Merklingen;901;496;405;806;95;22;102;169;910;193;716;708;57;;;
08425081;Munderkingen, Stadt;2,182;1,257;925;1,700;482;60;186;519;1,424;477;946;1,705;130;;;
08425083;Neenstetten;390;221;169;361;29;13;32;89;627;68;559;322;21;;;
08425084;Nellingen;945;539;406;829;116;24;107;188;583;175;408;770;70;;;
08425085;Nerenstetten;148;76;72;*;*;;19;35;*;3;*;145;4;;;
08425088;Oberdischingen;944;516;428;836;108;34;80;186;375;85;290;859;39;;;
08425090;Obermarchtal;567;315;252;532;35;28;69;108;206;51;155;516;37;;;
08425091;Oberstadion;747;433;314;689;58;29;74;154;187;61;126;686;36;;;
08425092;Öllingen;257;149;108;243;14;9;21;44;*;7;*;250;*;;;
08425093;Öpfingen;1,044;593;451;940;104;32;101;201;236;74;162;970;44;;;
08425097;Rammingen;603;343;260;529;74;29;51;114;348;74;274;529;28;;;
08425098;Rechtenstein;122;67;55;112;10;*;9;25;22;10;12;112;6;;;
08425104;Rottenacker;1,008;589;419;879;129;48;94;224;915;150;763;858;45;;;
08425108;Schelklingen, Stadt;2,946;1,700;1,246;2,503;442;124;301;649;1,470;596;873;2,350;116;;;
08425110;Schnürpflingen;624;345;279;564;60;16;46;128;97;42;55;582;20;;;
08425112;Setzingen;299;162;137;288;11;12;23;50;107;14;93;285;10;;;
08425123;Untermarchtal;327;177;150;302;24;17;32;56;252;47;205;280;12;;;
08425124;Unterstadion;370;219;151;352;18;11;41;77;324;40;284;330;14;;;
08425125;Unterwachingen;91;53;38;87;4;3;5;19;*;7;*;84;*;;;
08425130;Weidenstetten;634;382;252;539;95;18;61;121;124;37;87;597;31;;;
08425134;Westerheim;1,289;705;584;1,181;107;37;90;290;944;334;610;955;74;;;
08425135;Westerstetten;951;512;439;886;65;25;69;206;206;53;153;898;39;;;
08425137;Illerkirchberg;1,979;1,074;905;1,765;214;41;168;419;366;107;258;1,872;65;;;
08425138;Staig;1,402;759;643;1,272;129;35;112;352;409;131;278;1,271;72;;;
08425139;Heroldstatt;1,258;683;575;1,133;125;32;113;281;922;268;654;990;94;;;
08425140;Balzheim;939;531;408;832;107;44;99;207;866;223;642;716;40;;;
08425141;Blaustein, Stadt;7,213;3,942;3,271;5,919;1,291;148;532;1,447;2,703;896;1,804;6,317;301;;;
;;;;;;;;;;;;;;;;;
08425;Alb-Donau-Kreis;86,385;48,570;37,815;73,494;12,868;2,588;7,731;17,804;56,222;36,107;20,074;50,278;4,552;;;
;;;;;;;;;;;;;;;;;
08426001;Achstetten;2,287;1,295;992;2,045;242;74;194;397;1,332;275;1,053;2,012;91;;;
08426005;Alleshausen;244;139;105;236;8;13;34;47;*;7;*;237;*;;;
08426006;Allmannsweiler;141;75;66;*;*;4;18;37;22;3;19;138;7;;;
08426008;Altheim;874;465;409;826;48;23;79;213;428;112;316;762;46;;;
08426011;Attenweiler;909;532;377;830;79;36;83;180;138;40;98;869;29;;;
08426013;Bad Buchau, Stadt;1,833;1,027;806;1,539;292;45;149;413;2,193;598;1,595;1,235;106;;;
08426014;Bad Schussenried, Stadt;3,728;2,030;1,698;3,293;433;124;371;786;4,147;1,331;2,815;2,397;197;;;
08426019;Berkheim;1,306;730;576;1,177;129;52;129;229;1,242;201;1,040;1,105;81;;;
08426020;Betzenweiler;338;195;143;326;12;19;42;66;510;59;451;279;22;;;
08426021;Biberach an der Riß, Stadt;14,142;7,775;6,367;11,923;2,214;300;1,163;2,849;28,497;8,048;20,439;6,094;988;;;
08426028;Burgrieden;1,892;1,040;852;1,736;155;62;180;395;457;121;336;1,771;71;;;
08426031;Dettingen an der Iller;1,202;690;512;1,094;108;45;111;224;867;163;703;1,039;57;;;
08426035;Dürmentingen;1,186;656;530;1,099;87;51;109;251;1,630;334;1,294;852;56;;;
08426036;Dürnau;189;97;92;176;13;9;18;30;31;15;16;174;9;;;
