,Meldedatum,Bundesland,Geschlecht,Altersgruppe,AnzahlFall,AnzahlTodesfall,TotalAnzahl_BL_G_AG,TotalDeath_BL_G_AG
1550,2020-03-19T00:00:00.000Z,Saarland,M,A15-A34,7,0,20,0
1667,2020-03-20T00:00:00.000Z,Saarland,M,A15-A34,4,0,24,0
565,2020-03-11T00:00:00.000Z,Saarland,M,A60-A79,1,0,1,0
784,2020-03-13T00:00:00.000Z,Saarland,M,A60-A79,3,0,4,0
1116,2020-03-16T00:00:00.000Z,Saarland,M,A60-A79,3,0,7,0
1405,2020-03-18T00:00:00.000Z,Saarland,M,A60-A79,2,0,9,0
1552,2020-03-19T00:00:00.000Z,Saarland,M,A60-A79,1,0,10,0
1669,2020-03-20T00:00:00.000Z,Saarland,M,A60-A79,4,0,14,0
666,2020-03-12T00:00:00.000Z,Saarland,M,unbekannt,1,0,1,0
994,2020-03-15T00:00:00.000Z,Saarland,M,A00-A04,1,0,1,0
1402,2020-03-18T00:00:00.000Z,Saarland,M,A05-A14,1,0,1,0
384,2020-03-09T00:00:00.000Z,Saarland,W,A60-A79,1,0,1,0
786,2020-03-13T00:00:00.000Z,Saarland,W,A60-A79,1,0,2,0
896,2020-03-14T00:00:00.000Z,Saarland,W,A60-A79,1,0,3,0
999,2020-03-15T00:00:00.000Z,Saarland,W,A60-A79,1,0,4,0
1119,2020-03-16T00:00:00.000Z,Saarland,W,A60-A79,3,0,7,0
1408,2020-03-18T00:00:00.000Z,Saarland,W,A60-A79,1,0,8,0
1556,2020-03-19T00:00:00.000Z,Saarland,W,A60-A79,2,0,10,0
462,2020-03-10T00:00:00.000Z,Saarland,W,A35-A59,1,0,1,0
567,2020-03-11T00:00:00.000Z,Saarland,W,A35-A59,1,0,2,0
668,2020-03-12T00:00:00.000Z,Saarland,W,A35-A59,1,0,3,0
785,2020-03-13T00:00:00.000Z,Saarland,W,A35-A59,3,0,6,0
895,2020-03-14T00:00:00.000Z,Saarland,W,A35-A59,4,0,10,0
998,2020-03-15T00:00:00.000Z,Saarland,W,A35-A59,3,0,13,0
1118,2020-03-16T00:00:00.000Z,Saarland,W,A35-A59,3,0,16,0
1258,2020-03-17T00:00:00.000Z,Saarland,W,A35-A59,6,0,22,0
1407,2020-03-18T00:00:00.000Z,Saarland,W,A35-A59,6,0,28,0
1555,2020-03-19T00:00:00.000Z,Saarland,W,A35-A59,11,0,39,0
1672,2020-03-20T00:00:00.000Z,Saarland,W,A35-A59,7,0,46,0
566,2020-03-11T00:00:00.000Z,Saarland,W,A15-A34,1,0,1,0
667,2020-03-12T00:00:00.000Z,Saarland,W,A15-A34,1,0,2,0
894,2020-03-14T00:00:00.000Z,Saarland,W,A15-A34,4,0,6,0
997,2020-03-15T00:00:00.000Z,Saarland,W,A15-A34,3,0,9,0
1117,2020-03-16T00:00:00.000Z,Saarland,W,A15-A34,3,0,12,0
1257,2020-03-17T00:00:00.000Z,Saarland,W,A15-A34,4,0,16,0
1406,2020-03-18T00:00:00.000Z,Saarland,W,A15-A34,3,0,19,0
1554,2020-03-19T00:00:00.000Z,Saarland,W,A15-A34,3,0,22,0
1671,2020-03-20T00:00:00.000Z,Saarland,W,A15-A34,6,0,28,0
1409,2020-03-18T00:00:00.000Z,Saarland,W,A80+,1,0,1,0
1553,2020-03-19T00:00:00.000Z,Saarland,W,A05-A14,1,0,1,0
1670,2020-03-20T00:00:00.000Z,Saarland,W,A05-A14,1,0,2,0
469,2020-03-10T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,1,0,1,0
574,2020-03-11T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,2,0,3,0
676,2020-03-12T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,2,0,5,0
794,2020-03-13T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,2,0,7,0
1126,2020-03-16T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,8,0,15,0
1268,2020-03-17T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,5,0,20,0
1421,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,8,0,28,0
1567,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,M,A15-A34,4,0,32,0
470,2020-03-10T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,2,0,2,0
575,2020-03-11T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,4,0,6,0
677,2020-03-12T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,3,0,9,0
795,2020-03-13T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,3,0,12,0
904,2020-03-14T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,1,0,13,0
1127,2020-03-16T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,16,0,29,0
1269,2020-03-17T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,9,0,38,0
1422,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,10,0,48,0
1568,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,M,A35-A59,11,1,59,1
471,2020-03-10T00:00:00.000Z,Sachsen-Anhalt,M,A60-A79,1,0,1,0
576,2020-03-11T00:00:00.000Z,Sachsen-Anhalt,M,A60-A79,4,0,5,0
678,2020-03-12T00:00:00.000Z,Sachsen-Anhalt,M,A60-A79,1,0,6,0
796,2020-03-13T00:00:00.000Z,Sachsen-Anhalt,M,A60-A79,2,0,8,0
1128,2020-03-16T00:00:00.000Z,Sachsen-Anhalt,M,A60-A79,1,0,9,0
1423,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,M,A60-A79,2,0,11,0
1569,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,M,A60-A79,4,0,15,0
1270,2020-03-17T00:00:00.000Z,Sachsen-Anhalt,M,A80+,2,0,2,0
1271,2020-03-17T00:00:00.000Z,Sachsen-Anhalt,M,unbekannt,1,0,1,0
1420,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,M,A05-A14,1,0,1,0
1566,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,M,A05-A14,1,0,2,0
472,2020-03-10T00:00:00.000Z,Sachsen-Anhalt,W,A60-A79,2,0,2,0
579,2020-03-11T00:00:00.000Z,Sachsen-Anhalt,W,A60-A79,3,0,5,0
681,2020-03-12T00:00:00.000Z,Sachsen-Anhalt,W,A60-A79,1,0,6,0
799,2020-03-13T00:00:00.000Z,Sachsen-Anhalt,W,A60-A79,1,0,7,0
1274,2020-03-17T00:00:00.000Z,Sachsen-Anhalt,W,A60-A79,2,0,9,0
1426,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,W,A60-A79,3,0,12,0
1573,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,W,A60-A79,4,0,16,0
577,2020-03-11T00:00:00.000Z,Sachsen-Anhalt,W,A15-A34,1,0,1,0
679,2020-03-12T00:00:00.000Z,Sachsen-Anhalt,W,A15-A34,2,0,3,0
797,2020-03-13T00:00:00.000Z,Sachsen-Anhalt,W,A15-A34,1,0,4,0
1130,2020-03-16T00:00:00.000Z,Sachsen-Anhalt,W,A15-A34,5,0,9,0
1272,2020-03-17T00:00:00.000Z,Sachsen-Anhalt,W,A15-A34,4,0,13,0
1424,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,W,A15-A34,6,0,19,0
1571,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,W,A15-A34,4,0,23,0
578,2020-03-11T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,1,0,1,0
680,2020-03-12T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,5,0,6,0
798,2020-03-13T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,1,0,7,0
905,2020-03-14T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,1,0,8,0
1131,2020-03-16T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,4,0,12,0
1273,2020-03-17T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,6,0,18,0
1425,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,7,0,25,0
1572,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,W,A35-A59,8,0,33,0
800,2020-03-13T00:00:00.000Z,Sachsen-Anhalt,W,A80+,1,0,1,0
1427,2020-03-18T00:00:00.000Z,Sachsen-Anhalt,W,A80+,1,0,2,0
1129,2020-03-16T00:00:00.000Z,Sachsen-Anhalt,W,A05-A14,1,0,1,0
1570,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,W,A05-A14,1,0,2,0
1574,2020-03-19T00:00:00.000Z,Sachsen-Anhalt,unbekannt,unbekannt,1,0,1,0
1442,2020-03-19T00:00:00.000Z,-nicht erhoben-,M,A35-A59,1,0,1,0
1592,2020-03-20T00:00:00.000Z,-nicht erhoben-,W,A15-A34,1,0,1,0
